Summary,Issue id,Status,Priority,Resolution,Created,Resolved,Affects Version/s,Description
Upgrade Kafka to 2.8.1,13403462,Resolved,Major,Fixed,27/Sep/21 08:48,28/Sep/21 04:37,3.2.3,"Kafka 2.4.0 has the following vulnerability.

[https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-38153]"
lz4-java and snappy-java should be excluded from relocation in shaded Hadoop libraries,13399415,Resolved,Major,Fixed,04/Sep/21 21:33,14/Sep/21 18:17,3.3.1,"lz4-java is a provided dependency. So in the shaded Hadoop libraries, e.g. hadoop-client-api, if we don't exclude lz4 dependency, the downstream will still see the exception even they include lz4 dependency.
{code:java}
[info]   Cause: java.lang.ClassNotFoundException: org.apache.hadoop.shaded.net.jpountz.lz4.LZ4Factory
[info]   at java.net.URLClassLoader.findClass(URLClassLoader.java:382)
[info]   at java.lang.ClassLoader.loadClass(ClassLoader.java:418)
[info]   at sun.misc.Launcher$AppClassLoader.loadClass(Launcher.java:352)
[info]   at java.lang.ClassLoader.loadClass(ClassLoader.java:351)
[info]   at org.apache.hadoop.io.compress.lz4.Lz4Compressor.<init>(Lz4Compressor.java:66)
[info]   at org.apache.hadoop.io.compress.Lz4Codec.createCompressor(Lz4Codec.java:119)
[info]   at org.apache.hadoop.io.compress.CodecPool.getCompressor(CodecPool.java:152)
[info]   at org.apache.hadoop.io.compress.CodecPool.getCompressor(CodecPool.java:168)
 {code}

Currently snappy-java is included and relocated in Hadoop shaded client libraries. But as it includes native methods, it should not be relocated too due to JNI method resolution. The downstream will see the exception:

{code}
[info]   Cause: java.lang.UnsatisfiedLinkError: org.apache.hadoop.shaded.org.xerial.snappy.SnappyNative.rawCompress(Ljava/nio/ByteBuffer;IILjava/nio/ByteBuffer;I)I
[info]   at org.apache.hadoop.shaded.org.xerial.snappy.SnappyNative.rawCompress(Native Method)                                                                                                 
[info]   at org.apache.hadoop.shaded.org.xerial.snappy.Snappy.compress(Snappy.java:151)                                                                                                        
[info]   at org.apache.hadoop.io.compress.snappy.SnappyCompressor.compressDirectBuf(SnappyCompressor.java:282)
[info]   at org.apache.hadoop.io.compress.snappy.SnappyCompressor.compress(SnappyCompressor.java:210)

{code}
"
Test Result Not Working In Jenkins Result,13400141,Resolved,Major,Fixed,09/Sep/21 04:32,10/Sep/21 23:46,3.4.0,"The jenkins used to show the Test Results, now the list is broken and No PR has that working.

eg:

[https://ci-hadoop.apache.org/job/hadoop-multibranch/job/PR-3404/1/testReport/]

 

For Daily Build No Test Result as well:

https://ci-hadoop.apache.org/job/hadoop-qbt-trunk-java8-linux-x86_64/622/"
Upgrade ant to 1.10.11,13398785,Resolved,Major,Fixed,01/Sep/21 19:33,02/Sep/21 21:24,2.10.2,"Vulnerabilities reported in org.apache.ant:ant:1.10.9
 * [CVE-2021-36374|https://nvd.nist.gov/vuln/detail/CVE-2021-36374] moderate severity
 * [CVE-2021-36373|https://nvd.nist.gov/vuln/detail/CVE-2021-36373] moderate severity

suggested: org.apache.ant:ant ~> 1.10.11"
Upgrade JSON smart to 2.4.7,13394607,Resolved,Major,Fixed,11/Aug/21 10:06,14/Aug/21 11:32,3.2.3,"Currently we are using JSON Smart 2.4.2 version which is vulnerable to - CVE-2021-31684.

We can upgrade the version to 2.4.7 (2.4.5 or later)."
Upgrade jetty version to 9.4.43,13389310,Resolved,Major,Fixed,13/Jul/21 04:34,22/Jul/21 08:38,3.2.2,"https://github.com/eclipse/jetty.project/security/advisories/GHSA-m6cp-vxjx-65j6
https://github.com/eclipse/jetty.project/security/advisories/GHSA-gwcr-j4wh-j3cq"
Better token validation,13388312,Resolved,Major,Fixed,08/Jul/21 07:36,10/Jul/21 06:08,2.10.2,`MessageDigest.isEqual()` should be used for checking tokens.
Modify Text.ensureCapacity() to efficiently max out the backing array size,13400214,Resolved,Major,Fixed,09/Sep/21 11:06,30/Sep/21 00:26,3.4.0,"This is a continuation of HADOOP-17901.

Right now we use a factor of 1.5x to increase the byte array if it's full. However, if the size reaches a certain point, the increment is only (current size + length). This can cause performance issues if the textual data which we intend to store is beyond this point.

Instead, let's max out the array to the maximum. Based on different sources, a safe choice seems to be Integer.MAX_VALUE - 8 (see ArrayList, AbstractCollection, HashTable, etc)."
Move ClusterStorageCapacityExceededException to Public from LimitedPrivate,13399949,Resolved,Major,Fixed,08/Sep/21 10:24,13/Sep/21 17:21,3.4.0,"As of now the exception is marked limited private
{code:java}
@InterfaceAudience.LimitedPrivate({ ""HDFS"", ""MapReduce"", ""Tez"" })
{code}
Doesn't allow other projects, Rather than individually adding project, Make it Public itself.

This exception can be used to act as a fail-fast marker for different operations."
Remove GzipOutputStream,13399051,Resolved,Major,Fixed,03/Sep/21 01:43,09/Sep/21 04:24,3.4.0,"As we provide built-in gzip compressor, we can use it in compressor stream. The wrapper GzipOutputStream can be removed now."
Check real user ACLs in addition to proxied user ACLs,13396187,Resolved,Major,Fixed,19/Aug/21 18:34,08/Sep/21 15:29,2.10.1,"In a secure cluster, it is possible to configure the services to allow a super-user to proxy to a regular user and perform actions on behalf of the proxied user (see [Proxy user - Superusers Acting On Behalf Of Other Users|https://hadoop.apache.org/docs/current/hadoop-project-dist/hadoop-common/Superusers.html]).

This is useful for automating server access for multiple different users in a multi-tenant cluster. For example, this can be used by a super user submitting jobs to a YARN queue, accessing HDFS files, scheduling Oozie workflows, etc, which will then execute the service as the proxied user.

Usually when these services check ACLs to determine if the user has access to the requested resources, the service only needs to check the ACLs for the proxied user. However, it is sometimes desirable to allow the proxied user to have access to the resources when only the real user has open ACLs.

For instance, let's say the user {{adm}} is the only user with submit ACLs to the {{dataload}} queue, and the {{adm}} user wants to submit apps to the {{dataload}} queue on behalf of users {{headless1}} and {{headless2}}. In addition, we want to be able to bill {{headless1}} and {{headless2}} separately for the YARN resources used in the {{dataload}} queue. In order to do this, the apps need to run in the {{dataload}} queue as the respective headless users. We could open up the ACLs to the {{dataload}} queue to allow {{headless1}} and {{headless2}} to submit apps. But this would allow those users to submit any app to that queue, and not be limited to just the data loading apps, and we don't trust the {{headless1}} and {{headless2}} owners to honor that restriction.

This JIRA proposes that we define a way to set up ACLs to restrict a resource's access to a  super-user, but when the access happens, run it as the proxied user."
"hadoop-aws landsat-pds test bucket will be deleted after Jul 1, 2021",13386947,Resolved,Major,Duplicate,01/Jul/21 04:55,30/Jan/24 20:00,,"I found an anouncement that landsat-pds buket will be deleted on July 1, 2021

(https://registry.opendata.aws/landsat-8/)

and  I think this bucket  is used in th test of hadoop-aws module use

[https://github.com/apache/hadoop/blob/trunk/hadoop-tools/hadoop-aws/src/test/java/org/apache/hadoop/fs/s3a/S3ATestConstants.java#L93]

 

At this time I can access the bucket but we might have to change the test bucket in someday."
Replace IOUtils#closeQuietly usages,13387240,Resolved,Major,Fixed,02/Jul/21 09:22,08/Jul/21 07:05,3.4.0,"IOUtils#closeQuietly is deprecated since 2.6 release of commons-io without any replacement. Since we already have good replacement available in Hadoop's own IOUtils, we should use it."
Provide fallbacks for callqueue.impl and scheduler.impl,13388702,Resolved,Major,Fixed,09/Jul/21 16:27,14/Jul/21 11:59,3.4.0,"As mentioned in parent Jira, we should provide default properties for callqueue.impl and scheduler.impl such that if properties with port is not configured, we can fallback to default property. If ""ipc.8020.callqueue.impl"" is not present, fallback property could be ""ipc.callqueue.impl"" (without port). We can take up rest of the callqueue properties in separate sub-tasks."
Checkstyle - Allow line length: 100,13391234,Resolved,Major,Fixed,22/Jul/21 02:45,22/Jul/21 21:57,3.3.2,"Update the checkstyle rule to allow for 100 or 120 characters.

Discussion thread: [https://lists.apache.org/thread.html/r69c363fb365d4cfdec44433e7f6ec7d7eb3505067c2fcb793765068f%40%3Ccommon-dev.hadoop.apache.org%3E]"
Use CuratorCache implementation instead of PathChildrenCache / TreeCache,13393429,Resolved,Major,Fixed,04/Aug/21 09:45,07/Aug/21 02:21,3.4.0,"As we have moved to Curator 5.2.0 for Hadoop 3.4.0, we should start using new CuratorCache service implementation in place of deprecated PathChildrenCache and TreeCache usecases."
Avoid possible class loading deadlock with VerifierNone initialization,13396628,Resolved,Major,Fixed,23/Aug/21 08:17,24/Aug/21 13:48,3.3.2,"Superclass Verifier has a static initializer VERIFIER_NONE that initializes sub-class VerifierNone. This reference can result in deadlock during class loading as per [https://docs.oracle.com/javase/specs/jls/se8/html/jls-12.html#jls-12.4.2].

As of today, only RpcProgram use this instance and hence it is safe but if more clients start using this (specifically static ones), it has potential to bring deadlock. We should break this referencing before it is late."
ExceptionsHandler to add terse/suppressed Exceptions in thread-safe manner,13397644,Resolved,Major,Fixed,26/Aug/21 19:46,03/Sep/21 02:06,3.3.2,"Even though we have explicit comments stating that we have thread-safe replacement of terseExceptions and suppressedExceptions, in reality we don't have it. As we can't guarantee only non-concurrent addition of Exceptions at a time from any Server implementation, we should make this thread-safe."
Add Hadoop code formatter in dev-support,13399432,Resolved,Major,Fixed,05/Sep/21 07:58,23/Sep/21 04:34,3.4.0,We should add Hadoop code formatter xml to dev-support specifically for new developers to refer to.
Provide alternative to Guava VisibleForTesting,13404264,Resolved,Major,Fixed,30/Sep/21 09:54,05/Oct/21 17:21,3.3.2,"In an attempt to reduce the dependency on Guava, we should remove VisibleForTesting annotation usages as it has very high usage in our codebase. This Jira is to provide Hadoop's own alternative and use it in hadoop-common-project modules."
ABFS: Support for Encryption Context,13401361,Resolved,Major,Fixed,15/Sep/21 10:55,01/Jan/24 19:10,3.3.1,"Support for customer-provided encryption keys at the file level, superceding the global (account-level) key use in HADOOP-17536.

ABFS driver will support an ""EncryptionContext"" plugin for retrieving encryption information, the implementation for which should be provided by the client. The keys/context retrieved will be sent via request headers to the server, which will store the encryption context. Subsequent REST calls to server that access data/user metadata of the file will require fetching the encryption context through a GetFileProperties call and retrieving the key from the custom provider, before sending the request."
Improve the GitHub pull request template,13389501,Resolved,Major,Fixed,14/Jul/21 01:47,14/Aug/21 12:17,,"The current Hadoop pull request template can be improved.

- Require some information (e.g. https://github.com/apache/spark/blob/master/.github/PULL_REQUEST_TEMPLATE)
- Checklists (e.g. https://github.com/apache/nifi/blob/main/.github/PULL_REQUEST_TEMPLATE.md)
- Move current notice to comment (i.e. surround with <!-- and  -->)"
improve YARN Registry DNS Server qps,13396833,Open,Major,,24/Aug/21 06:55,,3.1.2,"There are some points to improve the performance of YARN Registry DNS Server.

- Do not print unnecessary logs (It just needs change log4j.properties)
-- log4j.logger.org.apache.hadoop.registry.server.dns=WARN
- Change some loglevels at points which can affect performance degradation.
- Use ""newFixedThreadPool"" instead of ""newCachedThreadPool"" to prevent OOM
- Use Blocking on TCP handler. Using non-blocking and sleeping some time(""Thread.sleep(500)"") is meaningless.

In our environment, QPS of original yarn dns server is about 5000 (UDP), 100 (TCP).
Now, QPS of our improved yarn dns server is about 47000 (UDP), 500 (TCP).


I will make a pull request at https://github.com/apache/hadoop soon.
"
fs.s3a.acl.default not working after S3A Audit feature added,13392716,Resolved,Major,Fixed,30/Jul/21 09:58,02/Aug/21 14:36,3.3.2,"
After HADOOP-17511 the fs.s3a.acl.default propperty isn't being passed through to S3 PUT/COPY requests.

The new RequestFactory is being given the acl values from the S3A FS instance, but the factory is being created before the acl settings are loaded from the configuration.

Fix, and ideally, test (if the getXAttr lets us see this now)"
