Summary,Issue id,Status,Priority,Resolution,Created,Resolved,Description
Cannot access gitlab pages,1812013,UNCONFIRMED,--,,2023-01-24 11:06:44+00:00,2023-01-27 22:27:15+00:00,"User Agent: Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:91.0) Gecko/20100101 SeaMonkey/2.53.15

Steps to reproduce:

I open the ""Help"" -> ""Show Build Configuration"" item (AKA about:buildconfig)
I click on the link: https://gitlab.com/seamonkey-project/seamonkey-2.53-comm/tree/2_53_15_final


Actual results:

The Gitlab page opens, but the main content is not shown - the ""wait"" indicator just keep running.


Expected results:

The https://gitlab.com/seamonkey-project/seamonkey-2.53-comm/tree/2_53_15_final should fully load."
facebook: your request cannot be processed,1812237,RESOLVED,--,DUPLICATE,2023-01-25 06:05:30+00:00,2023-01-27 22:28:05+00:00,"User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0 SeaMonkey/2.53.15

Steps to reproduce:

After upgrading to 2.53.15 from beta facebook.com stopped working. It writes: Your request cannot be processed (translated from original language). We are working... It is so on the homepage and any other facebook pages. Previously it didn't work either (it didn't show a page without the above message), but m.facebook.com worked. And now m.facebook.com shows the same message.
Firefox works fine at the same computer."
Rename devtools/shim to devtools/startup - SeaMonkey parts,1812367,RESOLVED,--,FIXED,2023-01-25 16:57:38+00:00,2023-04-16 12:45:59+00:00,"Some changes were missed for SeaMonkey in the cc patches attached to bug 1444926

+++ This bug was initially created as a clone of Bug #1444926 +++

The name devtools/shim was chosen for DevTools gofaster, but since the addon plans are on hold, we could rename this folder to make it less confusing.

Since the folder contains all the startup code that can run before devtools are started or initialized, I think devtools/startup would be a good fit.

We should also cleanup all references to the devtools addon, and remove them."
SeaMonkey system requirements for Mac need updating,1813333,RESOLVED,--,FIXED,2023-01-28 19:00:56+00:00,2023-05-25 21:06:19+00:00,"Actual results:

I downloaded the latest version of SeaMonkey (2.53.15) on Mac OS X 10.11.6, and it won't open, saying that Mac OS X 10.12 is required.

The SeaMonkey system requirements page (https://www.seamonkey-project.org/doc/system-requirements) says ""Mac OS X 10.9 or higher"".

The previous version (2.53.14) worked on Mac OS X 10.11.6, but the release notes for version 2.53.15 (https://www.seamonkey-project.org/releases/seamonkey2.53.15/) did not mention anything about Mac OS X 10.12 now being required."
Outdated Certificate for IRC bot page,1813388,RESOLVED,--,INVALID,2023-01-29 15:25:25+00:00,2023-01-29 21:57:28+00:00,"## I see

```
ircbot.comm-central.org:8080 verwendet ein ungültiges Sicherheitszertifikat. Das Zertifikat ist am Samstag, 7. Januar 2023, 17:35 abgelaufen. Die aktuelle Zeit ist Sonntag, 29. Januar 2023, 16:15. Fehlercode: SEC_ERROR_EXPIRED_CERTIFICATE
```"
Seamonkey is an unsupported browser at fritz.box,1813988,RESOLVED,P3,DUPLICATE,2023-01-31 08:33:00+00:00,2023-02-06 15:19:19+00:00,"**Environment:**
Operating System: Windows 10 PRO x64
Browser version: SeaMonkey 2.53.15


**Preconditions:** 
Fritzbox device needed




**Steps to reproduce:**
1. Navigate to: http://fritz.box
2.  Observe the result.






**Expected Behavior:**
The page loads as expected.

**Actual Behavior:**
An unsupported browser message is shown.

**Notes:**
The issue was first reported using webcompat.com
Works as expected using the latest build of Firefox Nightly"
Account login is not performed at facebook.com using Seamonkey,1813992,RESOLVED,P3,DUPLICATE,2023-01-31 09:12:02+00:00,2023-02-05 21:27:07+00:00,"**Environment:**
Operating System: Windows 10 PRO x64
Browser version: SeaMonkey 2.53.15






**Steps to reproduce:**
1. Navigate to: https://www.facebook.com/
2. Perform account login.
3. Observe the result.






**Expected Behavior:**
The account login is successfully performed.

**Actual Behavior:**
An error message is shown.

**Notes:**
The issue was first reported using webcompat.com
Works as expected using the latest build of Firefox Nightly"
No context menu appears any more in Seamonkey mail when right clicking an item,1815505,RESOLVED,--,WORKSFORME,2023-02-07 18:11:58+00:00,2023-07-11 15:25:26+00:00,when right clicking an item in Mail (an e-mail in your inbox or an attachment of an e-mail) no conext menu appears anymore. You have to find your ways through the menu's to accomplish your task.
Clicking a link in an email fails to open browser if browser has not been opened during the session,1816194,UNCONFIRMED,--,,2023-02-10 21:43:44+00:00,2024-02-27 17:44:01+00:00,"Steps to reproduce:

On Windows, with SeaMonkey not running, launch SeaMonkey Mail, then click on any link to any site in any email.

This issue began with 2.53.15; 2.53.14 and previous versions did not have this issue.

The issue does not occur if the SeaMonkey browser has been used since the current instance of seamonkey.exe was launched (either by the user explicitly launching the browser or by successfully launching it from an email); it only happens if the browser is being launched for the first time in this session by clicking a link in an email.


Actual results:

seamonkey.exe's CPU usage rises (to approximately the equivalent of one full core) for several seconds, Windows shows SeaMonkey as not responding, and then things go back to normal - but no browser window opens.  After this one episode, clicking links will work properly for as long as the instance of seamonkey.exe is running.


Expected results:

The browser window should open promptly, and without excessive CPU consumption or being shown as ""not responding""."
Page does not load content at myworld.com using SeaMonkey,1816665,NEW,--,,2023-02-14 13:15:08+00:00,2023-02-14 13:15:08+00:00,"""**Environment:**
Operating System: Windows 10 PRO x64
Browser version: SeaMonkey 2.53.15
User agent: Mozilla/5.0 (Windows NT 10.0; WOW64; rv:91.0) Gecko/20100101 Firefox/91.0 SeaMonkey/2.53.15


**Preconditions:** 
Clean profile



**Steps to reproduce:**
1. Navigate to:  https://www.myworld.com/it/evoucher
2. Observe the result.





**Expected Behavior:**
The page loads as expected.

**Actual Behavior:**
The page does not fully load.

**Notes:**
- Not reproducible on the latest build of Firefox Nightly
- Reproducible in PRIVATE Mode as well.
- Screenshot is attached."
Set SeaMonkey minimum macOS version to 10.12,1816667,RESOLVED,--,FIXED,2023-02-14 13:33:36+00:00,2023-04-16 12:11:54+00:00,"SeaMonkey 2.53.15 refuses to run on macOS 10.9 to 10.11. We are unable to make this work without backing out needed changes so we finally set the minimum version to 10.12 too.

Also menus turn back in some scenarios which is not what we want so we need to change the plist file. Corresponding Firefox bugs:

Port Bug 1634765 ""Drop support for (and prevent from running on) macOS versions below 10.12""
Bug 1623684 ""Force macOS aqua appearance on"""
Page design is broken at nhl.com using SeaMonkey,1816873,NEW,--,,2023-02-15 10:29:27+00:00,2023-02-15 10:29:27+00:00,"""**Environment:**
Operating System: Windows 10 PRO x64
Browser: SeaMonkey 2.53.15


**Preconditions:**
Clean profile



**Steps to reproduce:**
1. Navigate to: https://www.easyjet.com/en/
2. Observe the result.






**Expected Behavior:**
The page loads as expected

**Actual Behavior:**
Page design is broken.

**Notes:**
- wild.com redirects to the mentioned URL on all browsers
- Reproducible in PRIVATE Mode as well.
- Screenshot attached.
- Works as expected using the latest build of Firefox Nightly."
Login form is not present at nc.libranet.de using SeaMonkey,1816875,NEW,--,,2023-02-15 10:37:04+00:00,2023-02-15 10:37:04+00:00,"**Environment:**
Operating System: Windows 10 PRO x64
Firefox version: SeaMonkey 2.53.15/ Firefox Nightly 112.0a1 (2023-02-14) (64-bit)


**Preconditions:** 
Clean profile



**Steps to reproduce:**
1. Navigate to: https://nc.libranet.de/login
2.  Observe the result.






**Expected Behavior:**
Login form is shown.

**Actual Behavior:**
Login form is missing

**Notes:**
- Not reproducible using the latest build of Firefox Nigthly.
- Reproducible in PRIVATE Mode as well.
- Screenshot attached."
Broken link to SeaMonkey 2.53.16b1 download page,1819562,RESOLVED,--,FIXED,2023-03-01 09:11:55+00:00,2023-03-01 14:34:52+00:00,"The [SeaMonkey 2.53.16 Beta 1 page](https://www.seamonkey-project.org/releases/2.53.16b1) links to the [release notes page](https://www.seamonkey-project.org/releases/seamonkey2.53.16/). In the ""Downloading"" section of these release notes is the following text:

> You can [download SeaMonkey 2.53.16 Beta 1 here](https://www.seamonkey-project.org/releases/2.53.16). 

The link points to the nonexistent resource https://www.seamonkey-project.org/releases/2.53.16 but it should instead point to https://www.seamonkey-project.org/releases/2.53.16b1."
Spellcheck no longer works with --enable-system-hunspell,1820413,RESOLVED,--,WONTFIX,2023-03-05 20:22:40+00:00,2023-07-10 20:35:09+00:00,"I package SeaMonkey for openSUSE and we use `ac_add_options --enable-system-hunspell` in the `.mozconfig` file. This has worked for us up to and including SeaMonkey 2.53.15.  Starting with SeaMonkey 2.53.16b1, building SeaMonkey this way results in a non-functional spellchecker.  SeaMonkey still finds all the system dictionaries, and allows the user to select among them, but no matter which dictionary is selected, all words to be spellchecked are shown with a red wavy underline.  Meanwhile, the following sorts of error messages are printed to the system console:

```
error: file:///usr/share/myspell/de_AT.aff: cannot open
error: file:///usr/share/myspell/de_AT.dic: cannot open
error: file:///usr/share/myspell/de_AT.aff: cannot open
error: file:///usr/share/myspell/en_US.aff: cannot open
error: file:///usr/share/myspell/en_US.dic: cannot open
error: file:///usr/share/myspell/en_US.aff: cannot open
error: file:///usr/share/myspell/en_GB.aff: cannot open
error: file:///usr/share/myspell/en_GB.dic: cannot open
error: file:///usr/share/myspell/en_GB.aff: cannot open
```

Removing `ac_add_options --enable-system-hunspell` from `.mozconfig` restores the intended behaviour. (Interestingly, this is exactly the opposite of the workaround reported for Bug 1729113, which describes exactly the same symptoms.)

Some searching turns up Bug 1460600, which indicates that `--enable-system-hunspell` was removed from Firefox 62.  Has this change been backported to SeaMonkey 2.53.16b1?  If so, or if some similar change has been applied, perhaps this should be mentioned in the release notes so that users and packagers know not to use this option any more."
ModuleNotFoundError: No module named '_sqlite3',1822400,RESOLVED,--,INVALID,2023-03-14 19:48:59+00:00,2023-03-14 21:50:53+00:00,"Steps to reproduce:

Compiled seamonkey-2.53.16b1 on FreeBSD 12.13 amd64 with system clang 10.0.1 and rustc 1.66.0




Actual results:

./mach run dies with:
ModuleNotFoundError: No module named '_sqlite3'



Expected results:

it should have started :)"
https://winnipegtransit.com/navigo is not rendered at all,1823285,UNCONFIRMED,--,,2023-03-19 20:27:17+00:00,2023-06-15 11:42:11+00:00,"User Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:73.0) Gecko/20100101 Firefox/73.0

Steps to reproduce:

Just tried to go to page https://winnipegtransit.com/navigo


Actual results:

Just a blank page was displayed. There is only some Javascript code loaded, producing no HTML. Lots of errors reported in the Error Console. 

The same behaviour occurs in Seamonkey 2.53.15 and 2.53.16beta1.
This page used to work in earlier versions of Seamonkey, or the earlier versions of this page used to work in Seamonkey. 


Expected results:

From Where - To Where form, and map of part of Winnipeg should be displayed."
www.youtube.com - Video list from channel does not load,1824355,NEW,--,,2023-03-24 12:56:41+00:00,2023-03-26 11:18:21+00:00,"From github: https://github.com/webcompat/web-bugs/issues/119963.

> <!-- @browser: SeaMonkey 2.53.15 -->
> <!-- @ua_header: Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0 SeaMonkey/2.53.15 -->
> <!-- @reported_with: unknown -->
> <!-- @public_url: https://github.com/webcompat/web-bugs/issues/119963 -->
> 
> **URL**: https://www.youtube.com/my_videos?o=U
> 
> **Browser / Version**: SeaMonkey 2.53.15
> **Operating System**: Windows 7
> **Tested Another Browser**: Yes Firefox
> 
> **Problem type**: Something else
> **Description**: With Seamonkey, and logged into youtube, going to my channel content with this link now hangs.  This started happening in the last month or so.
> **Steps to Reproduce**:
> Firefox handles it without a problem.
> 
> <details>
> <summary>Browser Configuration</summary>
> <ul>
>   <li>None</li>
> </ul>
> </details>
> 
> _From [webcompat.com](https://webcompat.com/) with ❤️_

Change performed by the [Move to Bugzilla add-on](https://addons.mozilla.org/en-US/firefox/addon/move-to-bugzilla/)."
Seamonkey stop displaying FB messenger for desktop,1824500,UNCONFIRMED,--,,2023-03-25 01:49:10+00:00,2023-03-25 01:49:57+00:00,"User Agent: Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:73.0) Gecko/20100101 Firefox/73.0

Steps to reproduce:

I have tried to open https://www.messenger.com/


Actual results:

Blank page appeared when page loading finished. Show source shows lots of style and javascript loaded, but no page is rendered.
Using SeaMonkey 2.53.16 Beta 1.
I have probably never visited this page when using SeaMonkey 2.53.15, but it opened correctly in Seamonkey some time earlier. 


Expected results:

Facebook messenger for desktop main page should be displayed with link to my conversations."
SeaMonkey version 2.53.16 calendar not properly displaying already-accepted event invitations on Windows 10,1826667,RESOLVED,--,FIXED,2023-04-05 21:52:55+00:00,2023-07-10 20:34:08+00:00,"User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/111.0

Steps to reproduce:

Open Calendar in SeaMonkey 2.53.16 on Windows 10.
Step 1:  Hover mouse over existing events and the details seem to show correctly for all of them.
Step 2:  Double-click an event that was originally created by double-clicking in the calendar.  The ""Edit Event:"" form shows correctly for all these events.
Step 3:  Double-click an event that was originally created by accepting an invitation.  Rather than the small ""Edit Event"" form, a larger form is shown instead with:  1) no text in the header bar; 2) top-level menues for ""Save and Close"", ""Accept"", ""Tentative"", and ""Decline""; 3) the body of the form has the word ""General"" in bold followed by a horizontal line, and ""Title:"" one line below that, and ""Calendar:"" one line below ""Title""; much white space; and buttons for ""OK"" and ""Cancel"" in the lower right .  Neither button is functional.  This appears to be the form to accept an invitation, but this even has already been accepted (which is why it's in the calendar).  Click the ""X"" in the upper right to close the form and it does close, but now the mouse when hovered over the calendar is an hourglass; even so, it seems to be completely functional despite being the hourglass icon.
Step 4:  Close the calendar and open it again and everything seems back to normal, but you will start back at Step 1 each time.

Note A:  Because the details show on hover, I do not think the file local.sqlite is being corrupted.  I did try using the backup of this file I made before updating SeaMonkey to 2.23.16, and I got the same results.
Note B:  The pop-up Reminder form mostly works for events originally created by accepting an invitation, including the ""Snooze for"" feature.  But when I click on the ""Details"" link on the Reminder form for an affected event, I get the same issues as described above when trying to open it directly from the calendar interface.  For events created by double-clicking on the calendar, the pop-up Reminder works correctly in its entirety.

My conclusion:  Something is not being processed correctly for calendar events that were originally created by accepting an event invitation.


Actual results:

See ""Step 3"" description above.


Expected results:

The ""Edit Event"" form should show."
SeaMonkey is unable to access the macOS contacts starting with macOS 11,1826719,RESOLVED,--,FIXED,2023-04-06 09:45:25+00:00,2023-08-26 22:17:14+00:00,"User in alt.comp.software.seamonkey complained that he is unable to access the macOS contacts in 2.53.16. Turns out the bug has nothing to do with the version but with apple changing requirements again. NSContactsUsageDescription needs to be added to the Plist file.
https://developer.apple.com/documentation/bundleresources/information_property_list/nscontactsusagedescription

Still works fine in 10.15 but confirmend broken in 13.3. 

For a detailed explanation see Bug 1720257"
Composer page edited status change when clicking in editing window.,1827145,NEW,--,,2023-04-09 16:23:14+00:00,2023-05-03 19:53:53+00:00,"Steps to reproduce:

I open an HTLM page. The Save icon is disabled in the tool bar.
I click in the page.


Actual results:

Then the Save icon is enabled.


Expected results:

As I haven't edited the paged, just clicked in, the Save icon should remain disabled."
Composer adds moz-do-not-send attribute in links.,1827146,NEW,--,,2023-04-09 16:28:22+00:00,2023-04-16 13:22:53+00:00,"Steps to reproduce:

I create a link in an HTLM page.


Actual results:

The added source HTML code is:
<a href=""liens_histo.html#nvu"" moz-do-not-send=""true"">Nvu</a>


Expected results:

The attribute moz-do-not-send=""true"" shouldn't be added to the link."
Seamonkey 2.53.16 no longer working with caldav,1827472,RESOLVED,--,DUPLICATE,2023-04-11 17:59:11+00:00,2023-04-11 18:04:28+00:00,"User Agent: Mozilla/5.0 (Windows NT 10.0; WOW64; rv:91.0) Gecko/20100101 Firefox/91.0 SeaMonkey/2.53.16

Steps to reproduce:

Upgraded from 2.53.15 -> 2.53.16


Actual results:

After upgrading to 2.53.16 my CalDav calendar events no longer display when trying to open them. They are still listed in the calendar view, but double clicking on them opens a blank window where the details should be. This seems to be happening only for events that were not created by myself (meaning calendar invites sent by others to me).


Expected results:

The details from the calendar event should display."
Update Newsgroup and Mailing list information on SeaMonkey website,1828324,RESOLVED,--,FIXED,2023-04-16 11:09:47+00:00,2023-05-07 13:56:45+00:00,"As aioe.org doesn't seem to be coming back, need to update the information about newsgroup access on the Community page. I've selected eternal-september.org, happy for other options to be suggested.
Also need to fix the link to mailing list subscription in the About page."
Port Installer changes from Bug 1819093 to SeaMonkey,1829692,RESOLVED,--,FIXED,2023-04-24 15:39:11+00:00,2023-05-06 21:05:12+00:00,"Bug 1819093 ""Reduce unnecessary wake-ups caused by the SearchService's OpenSearch update mechanism"" removed toolkitsearch.manifest.

Packaging is broken."
Port shell service changes from from Bug 1823686 to SeaMonkey,1829693,RESOLVED,--,FIXED,2023-04-24 15:44:03+00:00,2023-05-06 21:05:14+00:00,"After Bug 1823686 ""Share URLExtraData between style attribute and SVG"" we need to include mozilla/dom/ReferrerInfo.h"" in /suite/components/shell/nsMacShellService.cpp."
With 2.53.16 the background grey in selected lines in mails&newsgroups is hardly visible.,1830417,UNCONFIRMED,--,,2023-04-27 21:15:09+00:00,2023-04-27 21:15:09+00:00,"User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 SeaMonkey/2.53.15

Steps to reproduce:

In 2.53.15 all is fine, after update to 2.53.16 not:
-  in the Mail&Newsgroup window, select an entry in an account, e.g. a newsgroup: background becomes blue
-  now enter the cursor into the window to read the contents



Actual results:

=> the formerly blue background is now a very light grey, hardly visible.

I had to go back to seamonkey 2.53.15
I am using the standard theme.



Expected results:

the formerly blue background of the line should have changed to a middle grey."
"Seamonkey stuck in an infinite loop on Cloudflare ""checking your browser"" pages.",1830662,RESOLVED,--,WORKSFORME,2023-04-30 12:20:37+00:00,2024-03-31 16:58:39+00:00,"User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0 SeaMonkey/2.53.16

Steps to reproduce:

Go to a website that uses Cloudflare for protection (""checking your browser""). 

Such as https://www.tapatalk.com/groups/tapatalksupport/search.php


Actual results:

I get stuck in an infinite loop despite passing the ""I am human"" test.


Expected results:

Should be allowed through and access the website. Could it be a problem that Seamonkey is missing functionality that Cloudflare needs or is it a misconfiguration on Cloudflare's end?

Related discussion: https://news.ycombinator.com/item?id=35742606"
Find again and previous not working when text box selected.,1831736,UNCONFIRMED,--,,2023-05-06 17:06:03+00:00,2024-05-14 12:18:35+00:00,"Steps to reproduce:

I select the menu Edit->Find and I type some text present in my page.
Then I select the menu Edit-> Find Again and Edit->Find Previous.


Actual results:

Find Again and Find Previous are not working as long as the find box is selected.

If click in my page then Find Again and Find Previous are working as the find box is no more selected.


Expected results:

Find Again and Find Previous are working even the find box is selected."
Advanced search problem with £ or $,1831843,UNCONFIRMED,--,,2023-05-08 10:01:57+00:00,2023-05-30 09:39:47+00:00,"Steps to reproduce:

I selected advanced search and entered two conditions:
Match All of the following:
Subject contains 'year'
Subject contains '£'



Actual results:

Some of the results did not contain £ in the subject


Expected results:

Only subjects with 'year' AND '£' should appear."
www.heise.de - Images do not load,1832753,NEW,--,,2023-05-12 06:56:50+00:00,2023-06-15 11:39:39+00:00,"From github: https://github.com/webcompat/web-bugs/issues/122163.

> <!-- @browser: Firefox 113.0 -->
> <!-- @ua_header: Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:109.0) Gecko/20100101 Firefox/113.0 -->
> <!-- @reported_with: unknown -->
> <!-- @public_url: https://github.com/webcompat/web-bugs/issues/122163 -->
> 
> **URL**: https://www.heise.de/
> 
> **Browser / Version**: Firefox 113.0
> **Operating System**: Windows 7
> **Tested Another Browser**: Yes Other
> 
> **Problem type**: Design is broken
> **Description**: Images not loaded
> **Steps to Reproduce**:
> Images are not loading in SeaMonkey 2.53.16
> <details>
>       <summary>View the screenshot</summary>
>       <img alt=""Screenshot"" src=""https://webcompat.com/uploads/2023/5/0d894784-d6af-4c52-adec-e483c76a8a5a.jpg"">
>       </details>
> 
> <details>
> <summary>Browser Configuration</summary>
> <ul>
>   <li>None</li>
> </ul>
> </details>
> 
> _From [webcompat.com](https://webcompat.com/) with ❤️_

Change performed by the [Move to Bugzilla add-on](https://addons.mozilla.org/en-US/firefox/addon/move-to-bugzilla/)."
moz-do-not-send default in Composer blocks images in html pages,1833236,UNCONFIRMED,--,,2023-05-15 20:06:01+00:00,2023-05-25 02:18:53+00:00,"User Agent: Mozilla/5.0 (X11; Linux x86_64; rv:102.0) Gecko/20100101 Firefox/102.0

Steps to reproduce:

When adding images to html pages I created a table and inserted an image in each cell.  The dimension of each image is customized.   I omit alt text.  I save the .html file and upload to the server with Filezilla.  Removing the moz-do-not-send entry with Advanced Edit doesn't work--that entry returns after I remove it and save. I've deleted images and inserted them again, erased the html and jpg files from the web site and uploaded them again, checked that the URL is relative to page location in Composer and that the images are located in the desired directories.
The problem page is http://flanaganphoto.com/gallery-Trains.html


Actual results:

In Composer some images, newly added, have moz-do-not-send set to True by default in the Advanced Edit. The visible result is that the image doesn't appear in the page when editing in Composer nor does the image appear in the page read from the website. 


Expected results:

Images inserted into html pages should be visible in Composer and on pages read from the web site.  Expected behavior is based on using Composer to maintain multiple domains for over 20 years.  


Mozilla/5.0 (X11; Linux x86_64; rv:102.0) Gecko/20100101 Firefox/102.0"
vimeo contents not shown.,1833440,RESOLVED,P2,FIXED,2023-05-16 17:00:30+00:00,2023-07-08 18:20:25+00:00,"Steps how to reproduce with installation of DE SeaMonkey 2.53.16 Beta 1 Pre Mozilla/5.0  (NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0  SeaMonkey/2.53.16 Build 20221208220001 (Same with normal user Profile and newly created User Profile), Default Classic Theme on German WIN10 64bit:

1. Visit *vimeo* main page https://vimeo.com/
   » Expected: Start page shown
    Actual: Start page contents shows up for fraction of a second, then contents disappears and error message ""Application error: a client-side exception has occurred (see the browser console for more information).""  will be shown 😥 
2. Visit arbitrary vimeo movie page like https://vimeo.com/218502282
 » Expected: Page with player shown (see screenshot comparison att.)
    Actual: only menu bar headline shown, no player and following (see screenshot comparison att.)

## Additional info
a) This worked some time ago when I tried, might depend on changes on vimeo."
HTML Editor (Composer and HTML Email) creates <tb> elements when splitting <td> cells,1834230,ASSIGNED,--,,2023-05-21 22:22:16+00:00,2023-05-28 11:00:01+00:00,"Currently, InsertCell() (editor/libeditor/HTMLTableEditor.cpp), which is used to create table cells when splitting merged cells, creates <tb> elements for the new cells.

Visually, this can be reproduced by splitting a merged <td> cell: the now unmerged cell is visible, but there are no new cells filling the ""gaps"". If you check the source, you can see that there are new <tb></tb> elements where the new cells would be."
www.facebook.com - Typing at start of line doesn't work,1834255,NEW,--,,2023-05-22 08:00:56+00:00,2023-06-15 11:41:00+00:00,"From github: https://github.com/webcompat/web-bugs/issues/122599.

> <!-- @browser: SeaMonkey 2.53.14 -->
> <!-- @ua_header: Mozilla/5.0 (X11; Linux x86_64; rv:68.0) Gecko/20100101 Firefox/68.0 SeaMonkey/2.53.14 -->
> <!-- @reported_with: unknown -->
> 
> **URL**: http://www.facebook.com/?ref=home
> 
> **Browser / Version**: SeaMonkey 2.53.14
> **Operating System**: Linux
> **Tested Another Browser**: Yes Firefox
> 
> **Problem type**: Something else
> **Description**: Typing at start of line doesn't work in Seamonkey but does in FF
> **Steps to Reproduce**:
> When I try to post or reply using Seamonkey,  nothing appears at left edge of textbox. There is a workaround, copying a bit of text including a leading space into the clipboard and pasting it into the textbox. Backspace so nothing's remaining but the space, then type. This may be an ""evangelism"" issue.
> 
> <details>
> <summary>Browser Configuration</summary>
> <ul>
>   <li>None</li>
> </ul>
> </details>
> 
> _From [webcompat.com](https://webcompat.com/) with ❤️_

Change performed by the [Move to Bugzilla add-on](https://addons.mozilla.org/en-US/firefox/addon/move-to-bugzilla/)."
Remove $(perl) usage from SeaMonkey build files,1835167,RESOLVED,--,FIXED,2023-05-25 22:12:38+00:00,2023-05-25 22:48:47+00:00,$(PERL) is no longer set in the build config. It is used for changing lf to crlf in the license.txt file only. Easy fix is just to use perl directly which is in the mozbuild path. Probably not needed anyway unless you still use notepad.exe for viewing text files but that is for later.
Impossible to login or register on wechange.de,1835234,UNCONFIRMED,--,,2023-05-26 08:05:06+00:00,2023-07-08 18:27:27+00:00,"Currently it's impossible for me to login with SM. When I insert my email address and PW on
https://wechange.de/de/login?next=%2Fdashboard%2F&v=3 and 
click ""Einloggen"", Inputs vanish, but nothing more happens, I will not become logged in. Also new registration is impossible.

Some xymptoms: PAge view is poor compared to the colorful and ""stylish"" view in FF and Chromium. Possibly not only design, but also functions get lost?

Steps how to reproduce with installation of DE SeaMonkey 2.53.16 Beta 1 Pre Mozilla/5.0  (NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0  SeaMonkey/2.53.16 Build 20221208220001 (Same with normal user Profile and newly created User Profile), Default Classic Theme on German WIN10 64bit

1. Visit https://wechange.de/ (without being logged in)
2. Type fantasy user email address (Hotzenplotz@gmail.com) and fantasy  password (09u4u6d&)
3. Click ""Einloggen""
   » (expected (as in FF): Message Anmeldung ist fehlgeschlagen! - Bitte versuche es noch einmal.
    Actual: inputs vanish, nothing more. 😥

Similar symptoms with correct. auth. data. Nothing happens.

Error Console shows tons of Messages (but no Error) already when I move mouse pointer to auth. area on the page"
Cloud portal website won't load,1838215,NEW,--,,2023-06-13 13:11:13+00:00,2023-06-14 19:31:10+00:00,"User Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0 SeaMonkey/2.53.16

Steps to reproduce:

I tried opening up our cloud portal website https://usa.cloud.watchguard.com/sp-overview/dashboard.


Actual results:

It just sat trying to load for several minutes but never opened.


Expected results:

Website should have loaded."
JS problem,1839154,UNCONFIRMED,--,,2023-06-19 10:48:10+00:00,2023-06-21 09:34:12+00:00,"Steps to reproduce:

There seems to be a JS problem.
I’ve had it on several websites.
The error is always the same.


Actual results:

“A script on this page may be busy, or it may have stopped responding. You can stop the script now, open the script in the debugger, or let the script continue.”

When clicking in continue, the same message comes again a few seconds later.
This is a SeaMonkey problem.


Expected results:

When I open the same sites with DuckDuckGo, no error messages at all.
Everything works the way it has to.
The same thing should happen in SeaMonkey."
Pressing ESC starts loading of blank startup page in SeaMonkey,1839560,NEW,--,,2023-06-21 05:33:43+00:00,2024-08-31 19:35:43+00:00,"User Agent: Mozilla/5.0 (X11; Linux x86_64; rv:91.0) Gecko/20100101 Firefox/91.0 SeaMonkey/2.53.17

Steps to reproduce:

2.53.17b1

prerequisites: new window/tab is set to about:blank

* open a new tab - 'stop' on the navigation toolbar is greyed out
* press esc


Actual results:

'stop' on the navigation toolbar becomes enabled and bubbles animation appears on the seamonkey logo in the top right corner - signs that a page is loading


Expected results:

nothing should've happened. Repro only for new tabs which just have been opened, entering about:blank in the existing tab or even pressing ^R in the new tab doesn't lead to this.

possibly a related issue: when new tab is opened while another slow tab is being loaded, 'stop' on the new tab is enabled and loading animation is on and won't turn off"
The buttons do not work and unable to type when reviewing something on tripadvisor.ca,1839579,NEW,P3,,2023-06-21 08:40:58+00:00,2023-06-21 09:05:19+00:00,"**Environment:**
Operating system:  Ubuntu 22.04 LTS
Browser / Version: SeaMonkey 2.53.16 / Firefox Nightly 116.0a1 (2023-06-19)

**Steps to reproduce:**
1. Go to tripadvisor.ca
2. Log into your account.
3. Search for a restaurant to review.
4. Try to rate and pick options from the drop down menus/buttons.
5. Try typing something in the ""Write your review"" text field.

**Expected Behaviour:**
The buttons are working and a review can be written.

**Actual Behaviour:**
The buttons are not working and a review cannot be written.

**Note:** Does not reproduce on Firefox Nightly."
